TA,專案,成效,興趣,類型
30-55 / 東區竹北 / 戶外家具/投資理財,元方學府首席1,⠀,"30-55 / 東區竹北 / 戶外家具/投資理財
-新竹縣政府（+3 公里）, IKEA 新竹訂購取貨中心（+3 公里） ; 湳雅公園（+3 公里）, 天公壇公園（+3 公里）
-烤肉架（家居和園藝用品） 、現代家具（居家裝潢） 、沙發床（居家裝潢） 、度假屋（住宿） 、北歐風設計（建築） 、迪卡儂、露台（園藝） 、庭院家具（居家裝潢） 、宜家家居（零售業者） 、茶（非酒精飲料） 、帳篷（露營） 、多肉植物、花園建築和裝飾 (住家修繕) 、股票市場（投資） 、金融服務（商業與財務） 、財經（商業與財務） 、金融經濟學或交易策略（投資）",名單
"28-55 /員林永靖大村/機械加工/醫療
(參考後台28-65/員林/工業區/機械加工/醫療)",坤悅原鄰薈,差,"28-55 /員林永靖大村/傳產/醫療/教育
-永靖車站（+3 公里）, 員林市（+4 公里）, 正新橡膠工業股份有限公司（+3 公里）, 員林基督教醫院（+2 公里）
-工廠（製造業） 、機械加工、金屬加工（建築業） 、輪胎 (汽車零件和服務) 、自行車（交通工具） 、捷安特、親子教育（兒童和親子教育） 、通勤 (旅遊觀光) 、休旅車（交通工具） 、小學（小學和中學教育） 、護理教育（醫學教育） 、醫學院 (高等教育) 、法律（法律和法律服務） 、科技（電腦和電子產品） 或寵物店（寵物用品）",訊息
"30-60 / 員林埔心 / 軍公教/教育
(參考後台30-65/員林 永靖/軍公教 重教育家長 )",坤悅原鄰薈,優,"30-60 / 員林埔心 / 軍公教/教育
-員林市（+5 公里）, 彰化縣埔心鄉公所（+4 公里）
-戶外休閒活動（戶外活動） 、歌唱（音樂） 、退伍軍人福利（軍事） 、表演藝術（表演藝術） 、圖書館、假期（活動） 、教育技術學（教育） 、時事（政治） 、英語（語言） 、婚禮（社會觀念） 、師範教育（職業訓練） 、政府（政府機構） 、 YouTube（串流服務） 、休旅車（交通工具） 或掀背車（交通工具）、行業類別：政府員工（全球） 、教育和圖書館或行政服務、家長：低年級學童（06-08 歲）的家長、青少年學童（09-12 歲）的家長或學齡前兒童的家長（03-05 歲）",訊息
30-60 / 員林溪湖大村 / 汽車業/傳產/親子,坤悅原鄰薈,差,"30-60 / 員林溪湖大村 / 汽車業/傳產/親子
-大埔厝（+5 公里）, 溪湖糖廠（+4 公里）, 員林市（+5 公里）
-室內設計（設計） 、自動化技術、房屋（房地產） 、機械加工、生活品質（心理學） 、電動車（交通工具） 、游泳（水上運動） 、市場趨勢 (商業和金融業) 、親子教育（兒童和親子教育） 、居家裝修（家居和園藝用品） 、羽球 (球拍類運動) 、汽車業（產業） 、股票（投資） 、網路購物（零售） 、製造業（產業） 、零部件市場或管理（商業與財務）、家長：父母（全部）",名單
,坤悅原鄰薈,⠀,"($75/184) 30-65/溪湖埔心大村秀水員林/自營工廠(0505調
台灣：大村車站（+4 公里）, 溪湖車站（+5 公里）, 秀水高工（+4 公里）, 員林車站（+4 公里）, 彰化縣埔心鄉公所（+5 公里）
戶外（戶外活動） 、廚房（家居和園藝用品） 、工廠（製造業） 、機械加工、傢俱（居家裝潢） 、電影（娛樂與媒體） 、個人理財（銀行業） 、汽車（交通工具） 、金屬加工（建築業） 、美食（美食和餐飲） 、新聞播報（新聞服務） 、親子教育（兒童和親子教育） 、居家裝修（家居和園藝用品） 、 591房屋交易網、食品加工、休旅車（交通工具） 、股票（投資） 、園藝（家居和園藝用品） 、半導體、家庭劇院、製造業（產業） 、投資（商業與財務） 、轎車（汽車） 、家庭（社會觀念） 、機械工程（工程） 、退休保險、工業工程 (工程) 、加工出口工廠、 B2B（商業與財務） 或 YouTube（串流服務）、行業類別：建築與採石、製造或安裝與維修服務",訊息
30-55 / 東區竹北 / 園藝景觀/親子休閒,元方學府首席1,⠀,"30-55 / 東區竹北 / 園藝景觀/親子休閒
-新竹縣政府（+3 公里） ; 交通大學（+3 公里）, 新竹市立動物園（+3 公里）
-室內盆栽 (植物和花卉) 、植物（植物與花卉） 、園藝造景（園藝） 、花園建築和裝飾 (住家修繕) 、宜家家居（零售業者） 、 Terrace (building) 、咖啡烘焙 (咖啡) 、親子教育（兒童和親子教育） 、健康飲食的食譜 (烹飪和食譜) 、庭院家具（居家裝潢） 、家庭桌遊 (遊戲) 、樂高（玩具） 、主題樂園（休閒） 、現代家具（居家裝潢） 或香檳 (葡萄酒)",名單
"30-65 / 新竹61沿線 / 山海興趣/老闆
",元方大景首席,⠀,"30-65 / 新竹61沿線 / 山海興趣/老闆
-緯度 24.87 經度 120.95 Zhubei（+2 公里） Hsinchu; 緯度 24.84 經度 120.93 新竹市（+2 公里）, 緯度 24.81 經度 120.92 新竹市（+2 公里）, 緯度 24.78 經度 120.91 新竹市（+2 公里） Hsinchu City
-登山（爬山） 、登山步道（健行） 、健行裝備（運動用品） 、風景攝影 (攝影) 、戶外休閒活動（戶外活動） 、釣魚（戶外活動） 、漁具、海鮮（美食和餐飲） 、旅行社和預訂 (旅遊觀光業) 、管理（商業與財務） 、商業（商業與財務） 、 B2B（商業與財務） 、領導（社會觀念） 或人力資源管理（商業與財務）、行為：小型企業主",名單
30-65 / 南投埔里 / 農畜/觀光/安卓,寬心璽玥,⠀,"30-65 / 南投埔里 / 農畜/觀光/安卓
-埔里鎮市區（+3 公里）, 太平路一段， Caotun Township（+8 公里） Nantou
-Radio station 、遊程承攬業、體操 (體操) 、健康飲食的食譜 (烹飪和食譜) 、農家樂、農業新聞和內容 (農業) 、溫室、園藝（農業） 、畜牧業（農業） 、家畜（農業） 、節慶（活動） 、度假村（旅遊觀光業） 、旅遊景點和活動 (旅遊觀光業) 、農企業（農業） 、金融服務（商業與財務） 或退休保險, 行為：使用 Facebook 的管道（行動裝置）：Android 裝置或曾經互動的消費者",訊息
30-55 / 伸港鹿港線西 / 零售批發自營,至善人本,⠀,"30-55 / 伸港鹿港線西 / 零售批發自營
-85。c鹿港鹿和店（+5 公里）, 鹿工路， 鹿港鎮（+3 公里）, 彰濱工業區 線西區（+3 公里）, 彰新路七段， Shenkang, T'Ai-Wan, Taiwan（+5 公里） Changhua
-商業模式 (商業和金融業) 、零售業（產業） 、批發（零售） 、經銷（商業） 、供應鏈、居家事業（商業與財務） 、小型企業（商業與財務） 、銀行帳戶 (銀行業) 、貿易（經濟） 、電子商務（零售） 、行銷企劃 (行銷) 、社群媒體行銷（行銷） 、網路購物（零售） 、網紅行銷 (行銷) 、連棟住宅（建築） 或排屋",訊息
30-55 / 田中北斗永靖 / 紡織/自營/家庭,羣昱馥昕3,⠀,"30-55 / 田中北斗永靖 / 紡織/自營/家庭
-彰化高鐵站（+3 公里） ; 彰化縣永靖鄉公所（+3 公里）, 北斗工業區（+4 公里）, 興工路443號， Tianzhong Township（+4 公里） Changhua
-房屋（房地產） 、量販店（食品零售業者） 、親子教育（兒童和親子教育） 、家電（消費電子產品） 、工作父母 (兒童和親子教育) 、紡織品、縫紉機、紡織品（工藝用品） 、出口貿易、零售業（產業） 、批發（零售） 、物流（商業與財務） 、消費電子產品（電腦和電子產品） 、居家用品零售商 (零售) 或家庭自動化（消費電子產品）",訊息
30-55 / 靜宜清水 / 零售批發自營,敘uno,⠀,"30-55 / 靜宜清水 / 零售批發自營
-清水車站（+4 公里）, 靜宜大學 Providence University（+4 公里）
-小型企業（商業與財務） 、銀行帳戶 (銀行業) 、行銷企劃 (行銷) 、批發（零售） 、開發潛在顧客 (行銷) 、供應鏈、經銷（商業） 、電子商務（零售） 、商業模式 (商業和金融業) 、網路購物（零售） 、社群媒體行銷（行銷） 、貿易（經濟） 、網紅行銷 (行銷) 、價格、居家事業（商業與財務） 、零售業（產業） 或餐飲業（餐飲）、行為：通勤者
0505
-嶺東科技大學（+3 公里）, 清水車站（+4 公里）, 靜宜大學 Providence University（+4 公里）",1510
30-60 / 海線西屯 / 老闆/人力/貿易,昇祐ONE PLUS,⠀,"30-60 / 海線西屯 / 老闆/人力/貿易
-水崛頭公園（+5 公里）, 臺灣大道八段， 台中市（+6 公里） Taichung
-私人銀行服務、公司（商業與財務） 、 Tax law 、企業家（商業與財務） 、商業（商業與財務） 、財務會計（商業與財務） 、律師事務所 (法律和法律諮詢服務) 、人力資源管理（商業與財務） 、自僱（工作機會） 、僱傭（工作機會） 、徵才網站（工作機會） 、進口（郵遞） 、貿易（經濟） 、物流（商業與財務） 或運輸和物流服務和組織 (商業和金融)",名單
30-65/南興公園+6/置產/醫師/高管,景立方層峰-主,優,"30-65/南興公園+6/置產/醫師/高管
-南興公園（+6 公里）
-閱讀（傳播） 、中小型企業（商業與財務） 、個人理財（銀行業） 、金融服務（商業與財務） 、生物技術、特斯拉汽車（交通工具） 、股票（投資） 、房地產開發（房地產） 、健身和保健（健身） 、生物學（科學） 、書籍（媒體刊物） 、醫學院 (高等教育) 、房地產（產業） 或管理（商業與財務）",名單
35-65 / 水湳石岡+8 / 戶外家具/露營,自然紅屋,⠀,"35-65 / 水湳石岡+8 / 戶外家具/露營
-水湳經貿園區（+8 公里）, Famwood 自然紅屋 Villa 農場（+8 公里） ; 新竹縣政府（+8 公里）
-Outdoor Living 、戶外休閒活動（戶外活動） 、生態旅遊（旅遊觀光） 、山脈 (登山和滑雪勝地) 、露營（戶外活動） 、休旅車營地（露營） 、大自然（科學） 、 Prefabricated home 、 Lifestyle Travel 、居家風格和類型 (房地產) 、庭院家具（居家裝潢） 、花園建築和裝飾 (住家修繕) 、宅度假（旅遊觀光） 或投資者（投資）",名單
30-60  / 彰市和美 / 建築/教育/醫療,坤辰師大苑,差,"30-60  / 彰市和美 / 建築/教育/醫療
-彰化師範大學（+4 公里）, 85度c和美彰新店（+4 公里）
-花園建築和裝飾 (住家修繕) 、結構工程、建築（建築） 、房地產（產業） 、土木工程（工程） 、建築工程、傢俱（居家裝潢） 、室內設計內容 (設計) 、家電（消費電子產品） 、親子天下、教育（社會觀念） 、課程（教育） 、醫學院 (高等教育) 、護理教育（醫學教育） 、健康教育、 591房屋交易網或新聞媒體（新聞服務）",名單
30-65 / 南投 / 休閒/旅行社/安卓,寬心璽玥,⠀,"30-65 / 南投 / 休閒/旅行社/安卓
-埔里國小（+5 公里）, 太平路一段， Caotun Township（+6 公里） Nantou
-Radio station 、中式料理（美食和餐飲） 、魚油、雜貨店（食品零售業者） 、簡餐館（餐廳） 、遊程承攬業、休閒活動（休閒） 、房地產（產業） 、健康飲食的食譜 (烹飪和食譜) 、跟團旅行 (旅遊觀光) 或旅行社和預訂 (旅遊觀光業), 行為：使用 Facebook 的管道（行動裝置）：Android 裝置或曾經互動的消費者",
,元方大景首席,⠀,閱讀（傳播） 、烘焙（烹飪） 、游泳（水上運動） 、圖書館、親子教育（兒童和親子教育） 、居家裝修（家居和園藝用品） 、公園、運動（體育運動） 、幼兒教育（小學和中學教育） 、英語（語言） 、家電（消費電子產品） 、兒童（兒童和親子教育） 、露營（戶外活動） 、均衡飲食（個人護理） 、住家（家居和園藝用品） 、烹飪（美食和餐飲） 、家庭桌遊 (遊戲) 、家務（家居和園藝用品） 或健康飲食的食譜 (烹飪和食譜),名單
30-60 / 員林大村花壇/ 零售批發自營,坤悅原鄰薈,⠀,"30-60 / 員林大村花壇/ 零售批發自營
-台豐高爾夫俱樂部（+3 公里）, 別有洞天Holes Cafe（+4 公里）, 員林市（+5 公里）
-商業模式 (商業和金融業) 、批發（零售） 、經銷（商業） 、供應鏈、居家事業（商業與財務） 、小型企業（商業與財務） 、銀行帳戶 (銀行業) 、貿易（經濟） 、電子商務（零售） 、行銷企劃 (行銷) 、社群媒體行銷（行銷） 、網紅行銷 (行銷) 、網路購物（零售） 、開發潛在顧客 (行銷) 、零售業（產業） 或房地產（產業）",訊息
30-60 / 水湳北屯 / 房產興趣,景立方層峰-主,⠀,"30-60 / 水湳北屯 / 房產興趣
-太原車站（+4 公里）, 水湳市場（+3 公里）
-室內設計（設計） 、個人理財（銀行業） 、 591房屋交易網、房地產（產業） 或股票市場（投資）",名單
30-60 / 水湳北屯 / 財會/公務員,景立方層峰-主,差,"30-60 / 水湳北屯 / 財會/公務員
-太原車站（+3 公里）, 水湳市場（+3 公里）, 水湳經貿園區（+3 公里）
-財務會計（商業與財務） 、會計系統、政府（政府機構） 、時事（政治） 、新聞媒體（新聞服務） 、傢俱（居家裝潢） 、網路 (電腦運算) 、室內設計（設計） 、科技（電腦和電子產品） 、簿記、鮭魚、簡餐館（餐廳） 或房地產（產業）、行業類別：教育和圖書館、政府員工（全球） 、保護服務、社區和社會服務或商業與金融",名單
30-55 / 水湳北屯潭子 / 年輕人興趣,原潮APT,差,"30-55 / 水湳北屯潭子 / 年輕人興趣
-太原車站（+5 公里）, 頭家厝菜市場（+3 公里）, 水湳市場（+3 公里）
-儲蓄（銀行業） 、上班族（流行文化） 、行銷企劃 (行銷) 、美容沙龍（化妝品） 、咖啡廳（咖啡） 、數位行銷（行銷） 、媽媽寶寶-懷孕、生產、育兒、傢俱（居家裝潢） 、個人理財（銀行業） 、百貨公司（零售） 、流行文化（社會觀念） 、咖啡豆（咖啡） 、保險（商業與財務） 、簡餐館（餐廳） 、時尚配件（飾品配件） 、品牌（行銷） 、婚禮教堂（婚禮） 、投資（商業與財務） 、社群媒體（網路媒體） 、婚禮（社會觀念） 、住家（家居和園藝用品） 或房地產（產業）",名單
"30-60 / 林口五股 / 醫療業/投資
",家悦美(主),⠀,"30-60 / 林口五股 / 醫療業/投資
-林口長庚研究大樓（+4 公里） ; 芳洲公園（+4 公里）
-Medical education 、醫學院 (高等教育) 、牙科學院 (高等教育) 、高等教育（教育） 、衛生學、衛生政策研究、清潔（個人護理） 、護理教育（醫學教育） 、美國疾病控制與預防中心、指數股票型基金 (投資) 、個人理財（銀行業） ",名單
30-60 / 林口五股龜山 / 醫療業/投資,家悦美(主),⠀,"30-60 / 林口五股龜山 / 醫療業/投資
-林口長庚研究大樓（+4 公里）, 桃園龜山長庚分院（+3 公里） ; 芳洲公園（+4 公里）
-Medical education 、牙科學院 (高等教育) 、醫學院 (高等教育) 、高等教育（教育） 、衛生學、衛生政策研究、清潔（個人護理） 、護理教育（醫學教育） 、美國疾病控制與預防中心、指數股票型基金 (投資) 、個人理財（銀行業） 、股票市場（投資） 、財務規劃（投資） 、市場趨勢 (商業和金融業) 或交易策略（投資）",名單
30-60 / 蘆竹桃園 / 主管/投資,家悦美(主),可,"30-60 / 蘆竹桃園 / 主管/投資
-蘆竹光明河濱公園（+4 公里）, 桃園藝文廣場（+4 公里）
-被動收入（商業與財務） 、投資管理（投資） 、納斯達克100指數、美國運通、黃金（金屬與礦物） 、房地產（產業） 、寶石（金屬與礦物） 、精品（零售） 、高階管理人員、人力資源管理（商業與財務） 、管理（商業與財務） 、訓練（教育） 、成人教育（職業訓練） 、培訓和開發 (商業活動) 、產品經理、市場趨勢 (商業和金融業) 或半導體",名單
30-60 / 雙北科學園區 / 旅遊興趣/戶外,家悦美(主),差,"30-60 / 雙北科學園區 / 旅遊興趣/戶外
-台北林口 華亞科學園區（+2 公里）, 新北產業科學園區（+3 公里）, 內湖科學園區（+2 公里）, 南港軟體園區（+2 公里）, 承德路六段， 台北市（+2 公里） Taipei
-飯店（住宿） 、免稅商店、 Hotels.com（住宿） 、 Trivago 、 Booking.com（旅遊觀光業） 、旅遊網站（網站） 、旅遊（旅遊觀光） 、房屋（房地產） 、戶外休閒活動（戶外活動） 、遛狗（狗狗） 、極限運動 (極限運動) 、街頭健身、棒球（體育運動） 、慢跑（跑步） 、馬拉松 (跑步) 、攝影（視覺藝術） 、登山（爬山） 、 DJI 、宜家家居（零售業者） 或音樂節（活動）",名單
"30-60 / 機捷沿線 / 電商/創業/年輕人
",家悦美(主),可,"30-60 / 機捷沿線 / 電商/創業/年輕人
-A7站（+3 公里）, 桃園國際機場捷運-新北產業園區站（+3 公里） ; 山鼻捷運站（+3 公里） ; A5捷運泰山站（+3 公里）
-電子商務（零售） 、進口（郵遞） 、批發（零售） 、零售業（產業） 、網路購物（零售） 、經銷（商業） 、小型企業（商業與財務） 、獨資企業（商業與財務） 、創意創業 (商業和金融業) 、居家事業（商業與財務） 、網紅行銷 (行銷) 、開發潛在顧客 (行銷) 、 Apple Music 、 Netflix（串流服務） 、快時尚（服飾） 、房地產（產業） 、婚禮教堂（婚禮） 、甜點（美食和餐飲） 或個人理財（銀行業）",名單
30-60 / 東區竹東 / 研究/高知識/運動,元方大景首席,⠀,"30-60 / 東區竹東 / 研究/高知識/運動
-新竹好市多（+4 公里）, 竹東工研院（+4 公里）
-大眾媒體（娛樂與媒體） 、實驗室、哲學、財經（商業與財務） 、科學 (期刊) 、研究所教育（高等教育） 、高等教育（教育） 、數學、新興技術（科學） 、研究、工程和理工學院 (教育) 、教育新聞 (教育) 、健身和保健（健身） 、跑步機、自行車（體育運動） 、捷安特、高爾夫球（體育運動） 、網球（體育運動） 或有氧運動 (健身)、行業類別：資訊科技和技術服務、教育和圖書館或計算與數學",名單
30-60  / 彰市和美員林 / 醫律/高級興趣,坤辰師大苑,差,"30-60  / 彰市和美員林 / 醫律/高級興趣
-彰化車站（+4 公里） ; 和美國小（+3 公里）, 員林車站（+4 公里）
-醫學院 (高等教育) 、律師（法律和法律服務） 、法律（法律和法律服務） 、政府機關概念和作法 (法律和政府) 、古典樂（音樂） 、閱讀（傳播） 、金融市場（投資） 、藝術品（視覺藝術） 、商業模式 (商業和金融業) 、投資管理（投資） 、銀行業（金融） 、收藏（興趣） 、投資（商業與財務） 、古董或房地產（產業）、行為：國際飛行常客、行業類別：商業與金融或管理",名單
30-60/南興公園+6/追星興趣,景立方層峰-副,可,"30-60/南興公園+6/追星興趣
-南興公園（+6 公里）
-Spotify（串流服務） 、演唱會（音樂活動） 、 JYP娛樂、手工藝（興趣） 、首爾、 SM娛樂、拍賣、數位單眼相機、電子商務（零售） 、真人實境秀（電影和電視） 、韓國流行音樂（音樂） 、韓式料理（美食和餐飲） 、肖像攝影 (攝影) 、航空公司、低成本航空公司、 Korean pop idol 、 YouTube（串流服務） 或外匯市場（貨幣）、行為：經常旅行的用戶或社群和俱樂部類粉絲專頁管理員",名單
"30-60/好市多+6/自營商/投資置產
",景立方層峰-副,⠀,"30-60/好市多+6/自營商/投資置產
-台中costco好市多二店（+6 公里）
-室內設計（設計） 、金融市場（投資） 、手工藝（興趣） 、批發（零售） 、中小型企業（商業與財務） 、供應鏈、個人理財（銀行業） 、金融服務（商業與財務） 、市場趨勢 (商業和金融業) 、時事（政治） 、網路購物（零售） 、股票市場（投資） 、零部件市場、房地產投資（投資） 、物流（商業與財務） 、管理（商業與財務） 、企業管理（商業與財務） 或精品（零售）",名單
30-65/好市多+6/電子工程/商管/教授,景立方層峰-副,⠀,"30-65/好市多+6/電子工程/商管/教授
-台中costco好市多二店（+6 公里）
-實驗室、人工智慧（計算） 、生活品質（心理學） 、 Medical education 、分子生物學、大數據 (科學) 、資訊科技（電腦和電子產品） 、機器學習（計算） 、工程（科學） 、購物（零售） 、股票（投資） 、網路購物（零售） 、生物學（科學） 、商業（商業與財務） 、房地產（產業） 、經濟學（經濟） 、不動產（房地產） 、科技（電腦和電子產品） 、管理（商業與財務） 、精品（零售） 或 Biomedical sciences、研究領域：Biomedical engineering",名單
,景立方層峰-副,⠀,"30-50/西屯水湳/youtuber/進口代理商/投資興趣
納入：興趣：股市指數 (投資) 、批發（零售） 、短片、經銷（商業） 、金融服務（商業與財務） 、網路迷因（流行文化） 、美食（美食和餐飲） 、流行文化（社會觀念） 、愛馬仕（服飾） 、首飾（服飾） 、香奈兒（時尚品牌） 、時事（政治） 、銀行業（金融） 、美妝情報資訊粉絲分享團、蘭蔻（化妝品） 、股票（投資） 、圖像編輯、影片剪輯軟體、股份 (金融) 、社群媒體行銷（行銷） 、商業（商業與財務） 、餐廳（餐飲） 、 MAC 化妝品（化妝品） 、寵物食品（寵物用品） 、剪輯、房地產（產業） 、廣告（行銷） 、健身（體育運動） 、 Instagram（社群媒體） 、不動產（房地產） 、影片製作（電影和電視） 、廣告代理商（行銷） 、零售業（產業） 、社群媒體（網路媒體） 、寵物（動物） 、進口（郵遞） 、 YouTube（串流服務） 、精品（零售） 或 Korean pop idol, 行為：經常旅行的用戶, 行業類別：商業決策者",名單
30-65/南興公園+6/綠/文藝/戶外,景立方層峰-副,可,"30-65/南興公園+6/綠/文藝/戶外
-南興公園（+6 公里）
-藝術展覽（視覺藝術） 、當代藝術（視覺藝術） 、植物園、森林生態學、觀賞植物（植物與花卉） 、文學（藝術） 、電子書（媒體刊物） 、戶外休閒活動（戶外活動） 、音樂節（活動） 、現場音樂（網站） 、電影愛好者 (電影) 、攝影（視覺藝術） 、房地產（產業） 或室內設計（設計）",名單
30-65/南興公園+6/業務/旅遊,景立方層峰-副,⠀,"30-65/南興公園+6/業務/旅遊
-南興公園（+6 公里）
-飯店（住宿） 、旅遊（產業） 、 Booking.com（旅遊觀光業） 、 Hotels.com（住宿） 、 Trivago 、免稅商店、旅遊網站（網站） 、 Tax law 、產品（公司） 、業務開發 (商業活動) 、開發潛在顧客 (行銷) 、企劃、一般保險 (保險) 、個人發展（個人身分） 或設計貿易展和專業組織 (貿易展)",名單
30-65/南興公園+6/政治/置產/科技,景立方層峰-副,優,"30-65/南興公園+6/政治/置產/科技
-南興公園（+6 公里）
人工智慧（計算） 、房屋（房地產） 、社會運動（社會公益理念） 、金融市場（投資） 、個人理財（銀行業） 、大數據 (科學) 、機器學習（計算） 、 iPad 、被動收入（商業與財務） 、時事（政治） 、股票（投資） 、 MacBook Pro 、房地產投資（投資） 、政府機關概念和作法 (法律和政府) 、金融經濟學、政治和社會議題 (政治) 或地緣政治學",名單
35-65 / 青埔中歷 / 老闆高管,新大墨,差,"35-65 / 青埔中歷 / 老闆高管
-青埔（+5 公里） ; SOGO 百貨 中壢店（+5 公里）
-高淨值人士（商業與財務） 、佳士得、 Art auction 、精品 (生活風格內容) 、路易威登（時尚品牌） 、愛馬仕（服飾） 、藝術展覽（視覺藝術） 、勞力士（手錶） 、商業領袖 (商業和金融) 、高階管理人員、保時捷、賓士（交通工具） 、管理（商業與財務） 、交易策略（投資） 、私人銀行服務或企業家（商業與財務）",名單
35-65 / 青埔竹科 / 金融投資,新大墨,優,"35-65 / 青埔竹科 / 金融投資
-青埔（+5 公里） ; 竹北台元科技園區（+5 公里）, 竹北高鐵（+2 公里）
-金融市場（投資） 、金融經濟學、交易策略（投資） 、投資管理（投資） 、資產管理 (商業和金融業) 、納斯達克100指數、倫敦證券交易所 (投資) 、美國運通、現金、特斯拉汽車（交通工具） 、英偉達、住宅房地產 (房地產) 、房地產（產業） 或黃金（金屬與礦物）",名單
30-60 / 彰市 / 自營商/醫律/投資,坤悅原鄰薈,優,"30-60 / 彰市 / 自營商/醫律/投資
-彰化車站（+5 公里）
-法律分支 (法律和政府) 、室內設計（設計） 、律師事務所 (法律和法律諮詢服務) 、批發（零售） 、供應鏈、個人理財（銀行業） 、經銷（商業） 、出口貿易、電子商務（零售） 、食品產業、生物學（科學） 、投資（商業與財務） 、醫學院 (高等教育) 、房地產（產業） 、居家事業（商業與財務） 、財產保險或零售業（產業）、行為：小型企業主、行業類別：健康照護與醫療服務或法律服務",名單
30-60 / 彰市 / 教師/首購/休閒興趣,坤悅原鄰薈,⠀,"30-60 / 彰市 / 教師/首購/休閒興趣
-彰化車站（+5 公里）
-室內設計（設計） 、儲蓄（銀行業） 、 iPhone（智慧型手機） 、學習（教育） 、課程（教育） 、親子教育（兒童和親子教育） 、幼兒教育（小學和中學教育） 、居家裝修（家居和園藝用品） 、首次購房者（房地產） 、豐田汽車（交通工具） 、 Nissan 汽車（交通工具） 、 591房屋交易網、首次購屋補助（房地產） 、 YouTube（串流服務） 、傢俱（居家裝潢） 、政府（政府機構） 或暑假（小學和中學教育）",名單
"33-60 / 林口+5 / 科技業+一點投資
",家悦美(主),差,"33-60 / 林口+5 / 科技業+一點投資
-林口三井 Outlet（+5 公里）
-人工智慧（計算） 、手機（智慧型手機） 、品質保證、行動支付（貨幣） 、 591房屋交易網、股票（投資） 、半導體、網路購物（零售） 、科技傳播學、高科技（電腦和電子產品） 、投資（商業與財務） 、電腦 (電腦和電子產品) 、房地產投資（投資） 、電子產品（電腦和電子產品） 、房地產（產業） 、消費電子產品（電腦和電子產品） 、電玩遊戲（遊戲） 、科技（電腦和電子產品） 或企業管理（商業與財務）, 行為：科技早期採用者",名單
30-60 / 林口蘆竹 /金融期貨,家悦美(主),⠀,"30-60 / 林口蘆竹 /金融期貨
-林口三井 Outlet（+5 公里）, 長榮企業大樓（+4 公里）
-金融經濟學、投資管理（投資） 、股票（投資） 、被動收入（商業與財務） 、黃金（金屬與礦物） 、半導體、航空公司、交易策略（投資） 或精品（零售）",名單
"33-60 / 雙北科學園區 / 金融業+旅遊
",家悦美(主),⠀,"33-60 / 雙北科學園區 / 金融業+旅遊
-台北林口 華亞科學園區（+2 公里）, 新北產業科學園區（+2 公里）, 內湖科學園區（+2 公里）, 南港軟體科學園區（+2 公里）, 承德路六段， 台北市（+2 公里） Taipei
-金融經濟學、投資管理（投資） 、股票（投資） 、被動收入（商業與財務） 、黃金（金屬與礦物） 、半導體、交易策略（投資） 、外匯市場（貨幣） 、飯店（住宿） 、免稅商店、 Hotels.com（住宿） 、旅遊（旅遊觀光） 、 Trivago 、 Booking.com（旅遊觀光業） 、房地產（產業） 或航空公司",名單
30-60 / 蘆竹桃園 / 投資/房地產,家悦美(主),⠀,"30-60 / 蘆竹桃園 / 投資/房地產
-蘆竹光明河濱公園（+4 公里）, 桃園藝文廣場（+4 公里）
-股票（投資） 、交易策略（投資） 、半導體、中央處理器（電腦硬體） 、黃金（金屬與礦物） 、航空公司、房地產（產業） 、房地產投資（投資） 或 591房屋交易網",名單
30-60 / 烏日文心 / 房產/自營/親子,坤辰師大苑,⠀,"30-60 / 烏日文心 / 房產/自營/親子
-明道花園城（+4 公里）, 文心森林公園（+2 公里）, 大度橋（+2 公里）
-房地產（產業） 、宜家家居（零售業者） 、室內設計（設計） 、親子教育（兒童和親子教育） 、臥室家具（居家裝潢） 、教育資源 (教育) 、益智玩具 (玩具) 、戶外休閒活動（戶外活動） 、 B2B（商業與財務） 、數位行銷（行銷） 、自僱（工作機會） 、商業模式 (商業和金融業) 或跨界休旅車、行為：小型企業主",名單
30-60 / 田中+8 / 家庭/教育/工業,羣昱馥昕3,⠀,"30-60 / 田中+8 / 家庭/教育/工業
-彰化高鐵站（+8 公里）
-教育（社會觀念） 、家電（消費電子產品） 、兒童發展（小學和中學教育） 、工作父母 (兒童和親子教育) 、首次購房者（房地產） 、機械工程（工程） 、室內設計（設計） 、製造業（產業） 、汽車（交通工具） 或科學（科學）",訊息
30-60 / 新北三重 / 資訊/旅遊,家悦美(主),⠀,"30-60 / 新北三重 / 資訊/旅遊
-新北產業園區（+3 公里）, 三重捷運站（+3 公里）
-資料分析 (商業和金融業) 、資料管理 (軟體) 、資訊科技（電腦和電子產品） 、機器學習（計算） 、防毒軟體、半導體、資料視覺化 (科學) 、航空公司、家庭自動化（消費電子產品） 、黃金（金屬與礦物） 、精品（零售） 、旅遊（旅遊觀光） 、 Trivago 、 http://booking.com/（旅遊觀光業） 、免稅商店、飯店（住宿） 或外匯市場（貨幣）",名單
"30-60 / 林口+5 / 資訊/金融期貨
",家悦美(主),⠀,"30-60 / 林口+5 / 資訊/金融期貨
-廣達電腦（+5 公里）
-交易策略（投資） 、資料分析 (商業和金融業) 、金融經濟學、資料管理 (軟體) 、資訊科技（電腦和電子產品） 、石油、機器學習（計算） 、防毒軟體、被動收入（商業與財務） 、投資管理（投資） 、股票（投資） 、半導體、資料視覺化 (科學) 、航空公司、家庭自動化（消費電子產品） 、黃金（金屬與礦物） 或精品（零售）",名單
